date,country,D,H,I,S,M
2021-04-01,Afghanistan,0.0,32.0,5.0,0.0,0.0
2021-04-02,Afghanistan,0.0,28.0,9.0,0.0,0.0
2021-04-03,Afghanistan,0.0,24.0,13.0,0.0,0.0
2021-04-04,Afghanistan,0.0,18.0,19.0,0.0,0.0
2021-04-05,Afghanistan,0.0,18.0,19.0,0.0,0.0
2021-04-06,Afghanistan,0.0,17.0,15.0,3.0,2.0
2021-04-07,Afghanistan,0.0,13.0,15.0,5.0,4.0
2021-04-08,Afghanistan,0.0,9.0,15.0,8.0,5.0
2021-04-09,Afghanistan,0.0,7.0,11.0,12.0,7.0
2021-04-10,Afghanistan,0.0,5.0,13.0,12.0,7.0
2021-04-11,Afghanistan,0.0,4.0,13.0,13.0,7.0
2021-04-12,Afghanistan,0.0,3.0,10.0,15.0,9.0
2021-04-13,Afghanistan,0.0,2.0,7.0,18.0,10.0
2021-04-14,Afghanistan,0.0,2.0,5.0,19.0,11.0
2021-04-15,Afghanistan,0.0,2.0,3.0,20.0,12.0
2021-04-16,Afghanistan,0.0,2.0,2.0,20.0,13.0
2021-04-17,Afghanistan,0.0,2.0,1.0,21.0,13.0
2021-04-18,Afghanistan,0.0,2.0,0.0,22.0,13.0
2021-04-19,Afghanistan,0.0,1.0,1.0,22.0,13.0
2021-04-20,Afghanistan,0.0,1.0,1.0,22.0,13.0
2021-04-21,Afghanistan,0.0,1.0,1.0,19.0,16.0
2021-04-22,Afghanistan,0.0,1.0,1.0,17.0,18.0
2021-04-23,Afghanistan,0.0,1.0,1.0,14.0,21.0
2021-04-24,Afghanistan,1.0,1.0,0.0,11.0,24.0
2021-04-25,Afghanistan,1.0,1.0,0.0,11.0,24.0
2021-04-26,Afghanistan,1.0,1.0,0.0,10.0,25.0
2021-04-27,Afghanistan,1.0,0.0,1.0,8.0,27.0
2021-04-28,Afghanistan,2.0,0.0,1.0,5.0,29.0
2021-04-29,Afghanistan,2.0,0.0,1.0,4.0,30.0
2021-04-30,Afghanistan,2.0,0.0,1.0,3.0,31.0
2021-05-01,Afghanistan,2.0,0.0,1.0,3.0,31.0
2021-05-02,Afghanistan,2.0,0.0,0.0,3.0,32.0
2021-05-03,Afghanistan,2.0,0.0,0.0,2.0,33.0
2021-05-04,Afghanistan,2.0,0.0,0.0,2.0,33.0
2021-05-05,Afghanistan,2.0,0.0,0.0,2.0,33.0
2021-05-06,Afghanistan,2.0,0.0,0.0,2.0,33.0
2021-05-07,Afghanistan,2.0,0.0,0.0,2.0,33.0
2021-05-08,Afghanistan,2.0,0.0,0.0,2.0,33.0
2021-05-09,Afghanistan,2.0,0.0,0.0,1.0,34.0
2021-05-10,Afghanistan,2.0,0.0,0.0,1.0,34.0
2021-05-11,Afghanistan,2.0,0.0,0.0,1.0,34.0
2021-05-12,Afghanistan,2.0,0.0,0.0,1.0,34.0
2021-05-13,Afghanistan,2.0,0.0,0.0,1.0,34.0
2021-05-14,Afghanistan,2.0,0.0,0.0,1.0,34.0
2021-05-15,Afghanistan,2.0,0.0,0.0,1.0,34.0
2021-05-16,Afghanistan,2.0,0.0,0.0,1.0,34.0
2021-05-17,Afghanistan,2.0,0.0,0.0,0.0,35.0
2021-05-18,Afghanistan,2.0,0.0,0.0,0.0,35.0
2021-05-19,Afghanistan,2.0,0.0,0.0,0.0,35.0
2021-05-20,Afghanistan,2.0,0.0,0.0,0.0,35.0
2021-05-21,Afghanistan,2.0,0.0,0.0,0.0,35.0
2021-05-22,Afghanistan,2.0,0.0,0.0,0.0,35.0
2021-05-23,Afghanistan,2.0,0.0,0.0,0.0,35.0
2021-05-24,Afghanistan,2.0,0.0,0.0,0.0,35.0
